name,id,twitter,groupe_sigle
Céline Calvez,539,celinecalvez,LREM
Émilie Cariou,567,EmilieCariou,NI
Gilles Carrez,430,GillesCarrez,LR
Christophe Castaner,537,CCastaner,LREM
Michel Castellani,231,Castellani_,LT
Anne-Laure Cattelot,35,ALCattelot,LREM
Jacques Cattin,207,JCattin2017,LR
Lionel Causse,372,DeputeCausse,LREM
Samantha Cazebonne,233,scazebonne,LREM
Jean-René Cazeneuve,147,jrcazeneuve,LREM
Sébastien Cazenove,188,SebCazenove,LREM
Anthony Cellier,465,anthonycellier,LREM
Jean-François Cesarini,559,JFCesarini,LREM
Émilie Chalas,428,EmilieCChalas,LREM
Philippe Chalumeau,142,Chalumeau_P,LREM
Annie Chapelier,85,chapelierannie,AE
Sylvie Charrière,238,SylvieCharriere,LREM
Fannette Charvier,330,F_Charvier,LREM
André Chassaigne,94,AndreChassaigne,GDR
Philippe Chassaing,236,ChassaingPh,LREM
Sébastien Chenu,179,sebchenu,NI
Gérard Cherpion,155,GerardCherpion,LR
Guillaume Chiche,318,GuillaumeChiche,NI
Francis Chouat,601,fchouat,LREM
Paul Christophe,380,christophe_p,AE
Dino Cinieri,450,DinoCinieri,LR
Éric Ciotti,101,ECiotti,LR
Stéphane Claireaux,582,sclaireaux,LREM
Mireille Clapot,571,clapotmireille,LREM
Christine Cloarec-Le Nabour,345,ChrisCloarec,LREM
Jean-Michel Clément,347,jmclement86,LT
Jean-Charles Colas-Roy,301,JCColasRoy,LREM
Fabienne Colboc,278,fabiennecolboc,LREM
Gilbert Collard,340,GilbertCollard,NI
Paul-André Colombani,339,pacolombani,LT
Éric Coquerel,316,ericcoquerel,LFI
Alexis Corbière,397,alexiscorbiere,LFI
David Corceiro,636,CorceiroDavid,MODEM
Pierre Cordier,203,CORDIERPierre08,LR
François Cormier-Bouligeon,261,FCBDeputeduCher,LREM
Josiane Corneloup,515,J_Corneloup,LR
François Cornut-Gentille,112,FCornutGentille,LR
Bérangère Couillard,391,BCouillard33,LREM
Charles de Courson,553,C_deCourson,LT
Yolaine de Courson,98,yodecourson,MODEM
Michèle Crouzet,115,michelecrouzet,MODEM
Jean-Pierre Cubertafon,420,dep_cubertafon,MODEM
Dominique Da Silva,552,DDaSilva95,LREM
Olivier Damaisin,169,olivierdam1,LREM
Yves Daniel,287,ydaniel_depute,LREM
Geneviève Darrieussecq,132,gdarrieussecq,MODEM
Olivier Dassault,14,ODassault,LR
Alain David,84,AlainDavid_AN,SOC
Dominique David,494,DominiqueDavid_,LREM
Bernard Deflesselles,134,BDeflesselles,LR
Typhanie Degois,556,Typhanie_Degois,LREM
Marc Delatte,167,MarcDelatte,LREM
Cécile Delpirou,631,c_delpirou,LREM
Michel Delpon,521,DelponMichelEM,LREM
Marguerite Deprez-Audebert,555,MDeprezAudebert,MODEM
Béatrice Descamps,561,beadescamps,UDI
Vincent Descoeur,53,VincentDescoeur,LR
Frédéric Descrozaille,558,fdescrozaille,LREM
Pierre Dharréville,367,pdharreville,GDR
Fabien Di Filippo,331,FabienDiFilippo,LR
Christophe Di Pompeo,566,DipompeoChrist,LREM
Éric Diard,362,DiardEric,LR
Benjamin Dirx,518,BenjaminDirx,LREM
Julien Dive,125,juliendive,LR
Jean-Baptiste Djebbari,67,Djebbari_JB,LREM
Stéphanie Do,532,DoStephanie_77,LREM
Loïc Dombreval,520,loicdombreval,LREM
Jean-Pierre Door,172,doorjean,LR
Jacqueline Dubois,187,jacqlinedubois,LREM
Marianne Dubois,60,DuboisMarianne,LR
Christelle Dubos,543,duboschristelle,LREM
Coralie Dubost,102,CoDubost,LREM
Nicole Dubré-Chirat,254,NicoleDubre17,LREM
Virginie Duby-Muller,291,DubyMuller,LR
Audrey Dufeu,63,audreydufeu,LREM
Jean-Paul Dufrègne,523,JP_Dufregne,GDR
Françoise Dumas,440,fdumasdeputee,LREM
Frédérique Dumas,459,dumasfrederique,LT
Laurence Dumont,481,LDumontDeputee,SOC
Pierre-Henri Dumont,118,phdumont,LR
Stella Dupont,519,stelladupont,LREM
Nicolas Dupont-Aignan,377,dupontaignan,NI
Olivier Dussopt,25,olivierdussopt,NG
Bruno Duvergé,24,BrunoDuverge,MODEM
Nicolas Démoulin,386,demoulinem,LREM
Lamia El Aaraje,656,lamiaela,SOC
M'jid El Guerrab,346,mjidelguerrab,AE
Sarah El Haïry,137,sarahelhairy,MODEM
Jean-François Eliaou,449,JFEliaou,LREM
Nathalie Elimas,495,avyelimas,MODEM
Sophie Errante,548,SophieErrante,LREM
Nadia Essayan,427,nadiaessayan,MODEM
Christophe Euzet,30,ChristopheEuzet,AE
José Evrard,165,Joseevrard62,NI
Catherine Fabre,365,cfabreAN,LREM
Élise Fajgeles,584,EliseFajgeles,LREM
Olivier Falorni,477,OlivierFalorni,LT
Michel Fanget,232,michelfanget,MODEM
Daniel Fasquelle,174,DFasquelle,LR
Elsa Faucillon,399,elsafaucillon,GDR
Olivier Faure,8,faureolivier,SOC
Valéria Faure-Muntian,439,V_Faure_Muntian,LREM
Yannick Favennec-Bécot,256,yfavennec,UDI
Richard Ferrand,576,RichardFerrand,LREM
Jean-Jacques Ferrara,159,jjferrarafb,LR
Marc Fesneau,273,MFesneau,MODEM
Caroline Fiat,166,CarolineFiat54,LFI
Agnès Firmin Le Bodo,277,agnesfirmin,AE
Jean-Marie Fiévet,554,JeanMarieFIEVET,LREM
Isabelle Florennes,108,iflorennes92,MODEM
Emmanuelle Fontaine-Domeizel,581,FontainDomeizel,LREM
Pascale Fontenel-Personne,3,f_personne,MODEM
Nicolas Forissier,129,N_Forissier,LR
Paula Forteza,577,PaulaForteza,NI
Alexandre Freschi,389,AVFreschi,LREM
Bruno Fuchs,528,bruno_fuchs,MODEM
Jean-Luc Fugit,284,Jean_LucFUGIT,LREM
Olivier Gaillard,228,OliveGaillard30,NI
Albane Gaillot,476,AlbaneGaillot,NI
Patricia Gallerneau,467,PGallerneau,MODEM
Camille Galliard-Minier,613,GalliardM,LREM
Claude de Ganay,305,Cdganay,LR
Laurent Garcia,411,GarciaLaxou,MODEM
Guillaume Garot,321,guillaumegarot,SOC
Thomas Gassilloud,214,tgassilloud,AE
Jean-Jacques Gaultier,120,JJ_Gaultier,LR
Raphaël Gauvain,185,Gauvain_Raphael,LREM
Laurence Gayte,199,laurencegayte,LREM
Luc Geismar,638,GeismarLuc,MODEM
Anne Genetet,472,AGenetet,LREM
Annie Genevard,475,AnnieGenevard,LR
Séverine Gipson,585,severine_gipson,LREM
Annick Girardin,471,AnnickGirardin,LREM
Éric Girardin,249,GirardinEric,LREM
Joël Giraud,145,JoelGiraud05,LREM
Olga Givernet,506,OlgaGivernet,LREM
Claude Goasguen,355,ClaudeGoasguen,LR
Valérie Gomez-Bassac,54,VGB83,LREM
Philippe Gomès,401,PhilippeGomesCE,UDI
Philippe Gosselin,47,phgosselin,LR
Guillaume Gouffier-Cha,230,g_gouffiercha,LREM
Perrine Goulet,492,perrinegoulet,MODEM
Fabien Gouttefarde,288,FGouttefarde,LREM
Carole Grandjean,75,CGrandjean54,LREM
Florence Granjus,374,fgranjus,LREM
Romain Grau,208,RomainGrau,LREM
Olivia Gregoire,388,oliviagregoire,LREM
Jean-Carles Grelier,146,JCGrelier,LR
Benjamin Griveaux,530,BGriveaux,LREM
Émilie Guerel,403,eguerelLREM,LREM
Stanislas Guerini,143,StanGuerini,LREM
Marie Guévenoux,229,mguevenoux,LREM
Raphaël Gérard,313,RaphaelGerard17,LREM
David Habib,264,DavidDhabib,SOC
Meyer Habib,46,Meyer_Habib,UDI
Nadia Hai,2,NadiaHai78,LREM
Véronique Hammerer,221,V_Hammerer,LREM
Brahim Hammouche,326,BHammouche5708,MODEM
Yannick Haury,356,YHaury44,LREM
Yves Hemedinger,644,YvesHemedinger,LR
Christine Hennion,104,Ch_Hennion,LREM
Pierre Henriet,473,HenrietPierre,LREM
Antoine Herth,456,antoineherth,AE
Patrick Hetzel,570,patrickhetzel,LR
Alexandre Holroyd,352,alexIholroyd,LREM
Dimitri Houbron,507,dhoubron1759,AE
Sacha Houlié,74,SachaHoulie,LREM
Philippe Huppé,225,PhilippeHuppe,AE
Christian Hutin,27,ChristianHutin,SOC
Sébastien Huyghe,526,SebastienHuyghe,LR
Danièle Hérin,223,Daniele_herin,LREM
Monique Iborra,421,MoniqueIborra,LREM
Cyrille Isaac-Sibille,6,Cisaacsibille,MODEM
Christian Jacob,55,ChJacob77,LR
Jean-Michel Jacques,317,J_M_Jacques,LREM
Élodie Jacquier-Laforge,205,elodiejala,MODEM
Caroline Janvier,243,CarolineJanvier,LREM
Christophe Jerretie,279,chrisjerretie,MODEM
François Jolivet,197,FJolivet36,LREM
Bruno Joncour,509,BJoncour,MODEM
Sandrine Josso,224,sandrinejossoan,MODEM
Chantal Jourdan,627,ChantalJourdan,SOC
Régis Juanico,95,juanico,SOC
Hubert Julien-Laferrière,524,hub_laferriere,NI
Sébastien Jumel,96,sebastienjumel,GDR
Yves Jégo,77,yvesjego,UAI
Mansour Kamardine,466,Kamardine_M,LR
Catherine Kamowski,245,CKamowski3805,LREM
Marietta Karamanli,51,MKaramanli72,SOC
Guillaume Kasbarian,5,guillaumekasba,LREM
Stéphanie Kerbarh,154,SKerbarh,LREM
Yannick Kerlogot,517,Kerlogot22,LREM
Loïc Kervran,37,LoicKervran18,AE
Fadila Khattabi,136,KhattabiF,LREM
Anissa Khedher,309,Anissa_Khedher,LREM
Rodrigue Kokouendo,49,RKokouendoJ,LREM
Jacques Krabal,294,JKrabal,LREM
Sonia Krimi,270,Sonia_Krimi,LREM
Aina Kuric,333,ainakuric,AE
Brigitte Kuster,139,Brigitte_Kuster,LR
Manuéla Kéclard-Mondésir,590,KeclardManuela,GDR
Laure de La Raudière,547,lauredlr,AE
Mustapha Laabid,272,mustapha_laabid,LREM
Daniel Labaronne,371,LabaronneDaniel,LREM
Bastien Lachaud,212,lachaudb,LFI
Valérie Lacroute,335,VLacroute,LR
Jean-Christophe Lagarde,235,jclagarde,UDI
Jean-Luc Lagleize,501,jeanluclagleize,MODEM
Fabien Lainé,580,fabien_laine,MODEM
Amélia Lakrafi,111,amelia_lkf,LREM
François-Michel Lambert,38,fm_lambert,LT
Jérôme Lambert,282,jeromelambert16,SOC
Anne-Christine Lang,12,AChristine_Lang,LREM
Mohamed Laqhila,36,laqhila,MODEM
Frédérique Lardet,383,F_Lardet,LREM
Michel Larive,201,Michel_Larive,LFI
Guillaume Larrivé,363,GLarrive,LR
Jean-Charles Larsonneur,322,JCLarsonneur,AE
Jean Lassalle,149,jeanlassalle,LT
Philippe Latombe,56,platombe,MODEM
Michel Lauzzana,141,lauzzanamichel,LREM
Célia de Lavergne,341,CdLavergne,LREM
Fiona Lazaar,176,fionalazaar,LREM
Gaël Le Bohec,357,GaelLeBohec,LREM
Sandrine Le Feur,82,SandrineLeFeur,LREM
Stéphane Le Foll,424,SLeFoll,NG
Marc Le Fur,252,marclefur,LR
Didier Le Gac,216,didierlegac,LREM
Gilles Le Gendre,344,GillesLeGendre,LREM
Constance Le Grip,87,ConstanceLeGrip,LR
Bruno Le Maire,247,BrunoLeMaire,LREM
Annaïg Le Meur,19,AnnaigLeMeur_AN,LREM
Nicole Le Peih,485,NicoleLePeih,LREM
Marine Le Pen,253,MLP_officiel,NI
Fabrice Le Vigoureux,33,LeVigoureuxF,LREM
Marie Lebec,163,marielebec78,LREM
Karine Lebon,646,KarineLebon,GDR
Jean-Claude Leclabart,432,JLeclabart,LREM
Sébastien Leclerc,168,SebLeclerc14,LR
Vincent Ledoux,398,VincentLedoux59,AE
Martine Leguille-Balloy,83,LeguilleBalloy,LREM
Christophe Lejeune,127,lejeune_ch,LREM
Patricia Lemoine,599,P_Lemoine,AE
Marion Lenne,90,marion_lenne,LREM
Maurice Leroy,290,MauriceLeroy,UAI
Roland Lescure,275,rolandlescure,LREM
Gérard Leseul,641,LeseulG,SOC
Serge Letchimy,410,SergeLetchimy,SOC
Geneviève Levy,265,genevievelevy83,LR
Monique Limon,320,3807Limon,LREM
Richard Lioger,502,RichardLioger,LREM
Brigitte Liso,178,brigitte_liso,LREM
Patrick Loiseau,605,ploiseau85,MODEM
Marie-France Lorho,586,FranceLorho,NI
David Lorion,204,david_lorion,LR
Alexandra Louis,572,ALouisDeputee13,AE
Véronique Louwagie,454,VeroLouwagie,LR
Aude Luquet,283,AudeLuquet77,MODEM
Gilles Lurton,369,gilleslurton,LR
Marie-Ange Magne,219,MarieAngeMagne,LREM
Lise Magnier,259,lise_magnier,AE
Mounir Mahjoubi,100,mounir,LREM
Sylvain Maillard,242,sylvainmaillard,LREM
Laurence Maillart-Méhaignerie,489,LMaillart,LREM
Jacques Maire,376,JMaireofficiel,LREM
Josette Manin,463,josette_manin,SOC
Emmanuel Maquet,324,emmanuel_maquet,LR
Jacqueline Maquet,158,JMaquetDeputee,LREM
Jacques Marilossian,157,jmarilossian,LREM
Olivier Marleix,565,oliviermarleix,LR
Franck Marlin,211,franckmarlin,LR
Sandra Marsaud,414,MARSAUDSandra,LREM
Didier Martin,280,dmartindijon,LREM
Denis Masséglia,68,denis_Masseglia,LREM
Max Mathiasin,455,MaxMathiasin,MODEM
Fabien Matras,73,famatras,LREM
Jean-Paul Mattei,113,jp_mattei,MODEM
Sereine Mauborgne,150,sereineenmarche,LREM
Stéphane Mazars,569,s_mazars,LREM
Jean François Mbaye,426,JFMBAYE,LREM
Nicolas Meizonnet,611,NMeizonnet,NI
Graziella Melchior,131,GrazieMelchior,LREM
Ludovic Mendes,189,LudovicMDS,LREM
Thomas Mesnier,418,MESNIERThomas,LREM
Sophie Mette,531,SophieMette1,MODEM
Frédérique Meunier,93,fmeunier19,LR
Marjolaine Meynier-Millefert,353,M_MeynierM,LREM
Monica Michel-Brassart,478,MonicaMichel_Of,LREM
Philippe Michel-Kleisbauer,124,PhilippeMichelK,MODEM
Thierry Michels,373,ThierryMichels,LREM
Patrick Mignola,257,PatrickMignola,MODEM
Bruno Millienne,123,BrunoMillienne,MODEM
Maxime Minot,425,MaximeMinot,LR
Patricia Mirallès,269,MIRALLESMP,LREM
Jean-Michel Mis,514,JeanMichelMIS,LREM
Paul Molac,29,paul_molac,LT
Amélie de Montchalin,271,ademontchalin,LREM
Jean-Baptiste Moreau,400,moreaujb23,LREM
Pierre Morel-À-L'Huissier,423,MORELPIERRE,UDI
Adrien Morenas,578,adrienmorenas,LREM
Florence Morlighem,610,FMorlighem,LREM
Naïma Moutchou,390,NaimaMoutchou,LREM
Isabelle Muller-Quoy,10,imullerquoy,LREM
Cécile Muschotti,392,CMUSCHOTTI,LREM
Jean-Luc Mélenchon,62,jlmelenchon,LFI
Emmanuelle Ménard,88,emenard34,NI
Sophie Métadier,657,SMetadier,UDI
Sandrine Mörch,568,SandrineMorch,LREM
Sébastien Nadot,385,Sebastien_Nadot,LT
Christophe Naegelen,114,naegelenchris,UDI
Philippe Naillet,622,PNaillet,SOC
Mickaël Nogal,119,mickaelnogal,LREM
Jérôme Nury,446,jeromenury,LR
Delphine O,579,odelphine,LREM
Claire O'Petit,300,claireopetit,LREM
Danièle Obono,431,Deputee_Obono,LFI
Valérie Oppelt,39,valerie_oppelt,LREM
Matthieu Orphelin,525,M_Orphelin,NI
Catherine Osson,97,Ossoncatherine,LREM
Jimmy Pahun,297,JimmyPahun,MODEM
Ludovic Pajot,227,ludovicpajot,NI
Xavier Paluszkiewicz,550,XavierPalu2017,LREM
Bertrand Pancher,34,BertrandPancher,LT
Sophie Panonacle,246,SoPanonacle,LREM
Mathilde Panot,348,mathildepanot,LFI
Jean-François Parigi,384,Jf_Parigi,LR
Didier Paris,79,_DidierParis,LREM
Zivka Park,529,zivkapark,LREM
Charlotte Parmentier-Lecocq,276,lecocqcharlotte,LREM
George Pau-Langevin,458,Pau_Langevin,SOC
Éric Pauget,575,EricPAUGET1,LR
Hervé Pellois,393,HervePellois,LREM
Guillaume Peltier,396,G_Peltier,LR
Alain Perea,153,pereaalain,LREM
Bernard Perrut,538,b_perrut,LR
Pierre Person,170,pierr_person,LREM
Anne-Laurence Petel,460,al_petel,LREM
Frédéric Petit,213,fpetitAN,MODEM
Maud Petit,117,MaudPetit_AN94,MODEM
Valérie Petit,164,ValeriePetit_AN,AE
Stéphane Peu,325,stephane1peu,GDR
Michèle Peyron,263,MichelePeyron,LREM
Damien Pichereau,105,DamienPichereau,LREM
Laurent Pietraszewski,4,pietraszewski_l,LREM
Sylvia Pinel,71,SylviaPinel,LT
Christine Pires Beaune,350,cpiresbeaune,SOC
Béatrice Piron,490,beatricepiron,LREM
Claire Pitollat,45,clairepitollat,LREM
Brune Poirson,415,brunepoirson,LREM
Bérengère Poletti,295,poletti_b,LR
Barbara Pompili,327,barbarapompili,LREM
Jean-Pierre Pont,307,JeanPierrePont,LREM
Jean-François Portarrieu,160,jfportarrieu,LREM
Dominique Potier,138,potierdominique,SOC
Benoit Potterie,379,benoitpotterie,AE
Josy Poueyto,360,josypoueyto,MODEM
Éric Poulliat,394,EPoulliat,LREM
Natalia Pouzyreff,453,npouzyreff78,LREM
Aurélien Pradié,375,AurelienPradie,LR
Florence Provendier,597,flprovendier,LREM
Loïc Prud'homme,534,PrudhommeLoic,LFI
Joaquim Pueyo,292,Joaquim_PUEYO,SOC
Catherine Pujol,626,catherinepujol1,NI
François Pupponi,250,fpupponi,MODEM
Bénédicte Pételle,603,DeputeeBPetelle,LREM
Adrien Quatennens,474,AQuatennens,LFI
Didier Quentin,402,didierquentin,LR
Bruno Questel,40,BQuestel,LREM
Valérie Rabault,336,Valerie_Rabault,SOC
Cathy Racon-Bouzon,451,RaconCathy,LREM
Alain Ramadier,222,alainramadier,LR
Nadia Ramassamy,366,NadiaRamassamy,LR
Richard Ramos,70,_richardramos,MODEM
Pierre-Alain Raphan,9,p_a_raphan,LREM
Jean-Hugues Ratenon,436,DeputeRatenon,LFI
Isabelle Rauch,378,isabellerauch,LREM
Julien Ravier,647,JuRavier,LR
Rémy Rebeyrotte,573,RRebeyrotte,LREM
Robin Reda,161,robinreda,LR
Jean-Luc Reitzer,469,JL_Reitzer,LR
Hugues Renson,370,huguesrenson,LREM
Muriel Ressiguier,148,mressiguier,LFI
Bernard Reynès,422,bernardreynes,LR
Franck Riester,81,franckriester,UAI
Cécile Rilhac,50,Cecile_Rilhac,LREM
Véronique Riotton,267,V_Riotton,LREM
Stéphanie Rist,368,stephanie_rist,LREM
Marie-Pierre Rixain,86,RixainMP,LREM
Mireille Robert,433,MRobert_11,LREM
Vincent Rolland,409,VRolland73,LR
Laëtitia Romeiro Dias,80,Romeiro1L,LREM
Muriel Roques-Etienne,649,MRoquesetienne,LREM
Xavier Roseren,447,XavierRoseren,LREM
Laurianne Rossi,194,lauriannerossi,LREM
Claudia Rouaux,612,claudia_rouaux,SOC
Gwendal Rouillard,438,G_ROUILLARD,LREM
Cédric Roussel,1,CedricRoussel06,LREM
Fabien Roussel,342,Fabien_Roussel,GDR
Sabine Rubin,315,SabineRubinFI93,LFI
Thomas Rudigoz,319,trudigoz,LREM
François Ruffin,255,Francois_Ruffin,LFI
François de Rugy,510,Fderugy,LREM
Pacôme Rupin,186,PacomeRupin,LREM
Martial Saddier,443,MartialSaddier,LR
Maina Sage,299,MainaSage,AE
Laurent Saint-Martin,17,LauStmartin,LREM
Laetitia Saint-Paul,560,l_saintpaul,LREM
Nicole Sanquer,464,nicole_sanquer,UDI
Isabelle Santiago,645,isasantiago_94,SOC
Marielle de Sarnez,419,desarnez,MODEM
Hervé Saulignac,128,hsaulignac,SOC
Jacques Savatier,574,JacquesSavatier,LREM
Antoine Savignat,588,antoine7595,LR
Raphaël Schellenberger,72,RSCactu,LR
Jean-Bernard Sempastous,206,Sempastoushp,LREM
Jean-Marie Sermier,266,jmsermier,LR
Nathalie Serre,617,NathalieSerre,LR
Olivier Serva,107,olivier_serva,LREM
Gabriel Serville,22,GabrielServille,GDR
Marie Silin,637,Mariesilin,LREM
Benoit Simian,343,BenoitSimian,LT
Valérie Six,618,six_valerie,UDI
Thierry Solère,470,solere92,LREM
Denis Sommer,251,DenisSommer,LREM
Bertrand Sorre,21,sorre_depute,LREM
Éric Straumann,110,ericstraumann,LR
Bruno Studer,487,brunostuder67,LREM
Sira Sylla,91,sirasylla76,LREM
Michèle Tabarot,61,MTabarot,LR
Aurélien Taché,195,Aurelientache,NI
Marie Tamarelle-Verhaeghe,381,marietamarelle,LREM
Buon Tan,248,BuonTAN,LREM
Liliana Tanguy,546,LilianeTanguyAN,LREM
Adrien Taquet,285,AdrienTaquet,LREM
Jean-Charles Taugourdeau,448,jctaugourdeau,LR
Bénédicte Taurine,503,BenedictTaurine,LFI
Guy Teissier,156,guyteissier,LR
Jennifer De Temmerman,395,Jdetemmerman,LT
Sylvain Templier,639,sylv1templier,LREM
Jean Terlier,182,JeanTerlier,LREM
Stéphane Testé,191,stephane_teste,LREM
Agnès Thill,180,ThillAgnes,UDI
Sabine Thillaye,302,SabineThillaye,MODEM
Vincent Thiébaut,306,VincentThiebaut,LREM
Jean-Louis Thiériot,594,JL_Thieriot,LR
Valérie Thomas,545,Vthomas_63,LREM
Alice Thourot,540,AliceThourot,LREM
Huguette Tiegna,522,Huguette_Tiegna,LREM
Sylvie Tolmont,593,SylvieTolmont,SOC
Alain Tourret,28,AlainTourret,LREM
Élisabeth Toutut-Picard,484,etoututpicard,LREM
Laurence Trastour-Isnart,304,TrastourIsnart,LR
Stéphane Travert,498,StTRAVERT,LREM
Nicole Trisse,557,NicoleTrisse,LREM
Stéphane Trompille,103,S_Trompille,LREM
Frédérique Tuffnell,549,Tuffnell17,MODEM
Nicolas Turquois,190,TurquoisNicolas,MODEM
Cécile Untermaier,429,ceciluntermaier,SOC
Hélène Vainqueur-Christophe,491,HeleneVainqueur,SOC
Isabelle Valentin,140,isavalentin43,LR
Alexandra Valetta Ardisson,133,A_Ardisson,LREM
Boris Vallaud,76,BorisVallaud,SOC
Manuel Valls,479,manuelvalls,LREM
Laurence Vanceunebrock,162,LaurenceVanceu,LREM
Pierre Vatin,44,PierreVatinOff,LR
Michèle de Vaucouleurs,417,MdeVaucouleurs,MODEM
Pierre Venteau,607,PierreVenteau,LREM
Francis Vercamer,416,FVercamer,UDI
Patrice Verchère,480,PatriceVerchere,LR
Marie-Christine Verdier-Jouclas,244,verdierjouclas,LREM
Arnaud Viala,226,arnaudviala,LR
Michel Vialay,542,MichelVialay,LR
Laurence Vichnievsky,13,Lvichnievsky,MODEM
Michèle Victory,587,victory_michele,SOC
Annie Vidal,175,Vidal7602,LREM
Jean-Pierre Vigier,202,j_pVigier,LR
Philippe Vigier,116,VigierPhilippe,MODEM
Patrick Vignal,293,PatrickVignal,LREM
Corinne Vignon,258,corinnevignon,LREM
Cédric Villani,535,VillaniCedric,NI
André Villiers,434,AVilliers2017,UDI
Stéphane Viry,551,ViryStephane,LR
Guillaume Vuilletet,7,g_vuilletet,LREM
Olivier Véran,308,olivierveran,LREM
Jean-Luc Warsmann,497,warsmann,UDI
Sylvain Waserman,48,SylvainWaserman,MODEM
Éric Woerth,192,ericwoerth,LR
Martine Wonner,26,MartineWonner,NI
Hubert Wulfranc,215,HubertWulfranc,GDR
Hélène Zannier,130,HeleneZannier,LREM
Souad Zitouni,614,ZITOUNISouad3,LREM
Jean-Marc Zulesi,31,jmzulesi,LREM
Michel Zumkeller,329,MichelZumkeller,UDI
Charles de la Verpillière,486,delaverpilliere,LR
